接口	描述
BitConsumer<T,U>	该接口代表了接收两个输入参数 T、U，并且没有返回的操作
BiFunction<T,U,R>	该接口代表提供接收两个参数 T、U，并且产生一个结果 R 的方法
BinaryOperator	代表了基于两个相同类型的操作数，产生仍然是相同类型结果的操作
BiPredicate<T,U>	代表了对两个参数的断言操作（基于 Boolean 值的方法）
BooleanSupplier	代表了一个给出 Boolean 值结果的方法
Consumer	代表了接受单一输入参数并且没有返回值的操作
DoubleBinaryOperator	代表了基于两个 Double 类型操作数的操作，并且返回一个 Double 类型的返回值
DoubleConsumer	代表了一个接受单个 Double 类型的参数并且没有返回的操作
DoubleFunction	代表了一个接受 Double 类型参数并且返回结果的方法
DoublePredicate	代表了对一个 Double 类型的参数的断言操作
DoubleSupplier	代表了一个给出 Double 类型值的方法
DoubleToIntFunction	代表了接受单个 Double 类型参数但返回 Int 类型结果的方法
DoubleToLongFunction	代表了接受单个 Double 类型参数但返回 Long 类型结果的方法
DoubleUnaryOperator	代表了基于单个 Double 类型操作数且产生 Double 类型结果的操作
Function<T,R>	代表了接受一个参数并且产生一个结果的方法
IntBinaryOperator	代表了对两个 Int 类型操作数的操作，并且产生一个 Int 类型的结果
IntConsumer	代表了接受单个 Int 类型参数的操作，没有返回结果
IntFunction	代表了接受 Int 类型参数并且给出返回值的方法
IntPredicate	代表了对单个 Int 类型参数的断言操作
更多的接口可以参考 Java 官方 API 手册：java.lang.Annotation Type FunctionalInterface。
在实际使用过程中，加有@FunctionalInterface注解的方法均是此类接口，位于java.util.Funtion包中。
